sex,age,category,n
f,12,A1,9
f,13,A1,6
f,14,A1,23
f,15,A1,73
f,16,A1,169
f,17,A1,197
f,18,A1,56
f,19,A1,21
f,20,A1,3
f,21,A1,1
m,10,A1,1
m,12,A1,6
m,13,A1,3
m,14,A1,12
m,15,A1,33
m,16,A1,88
m,17,A1,99
m,18,A1,55
m,19,A1,9
m,20,A1,2
m,21,A1,1
f,14,A2,1
f,15,A2,4
f,16,A2,11
f,17,A2,31
f,18,A2,2
m,15,A2,1
m,16,A2,2
m,17,A2,11
m,18,A2,5
f,15,A3,1
f,16,A3,2
f,18,A3,1
m,14,A3,1
m,16,A3,1
f,7,A4,1
f,10,A4,1
f,11,A4,2
f,12,A4,2
f,14,A4,1
f,15,A4,2
f,16,A4,9
f,17,A4,7
f,18,A4,2
m,10,A4,1
m,12,A4,1
m,13,A4,1
m,16,A4,4
m,17,A4,4
f,17,A5,1
m,17,A5,1
f,15,A6,2
f,16,A6,2
f,17,A6,2
f,18,A6,1
m,16,A6,2
m,17,A6,1
f,14,A7,1
f,18,A7,1
f,22,A7,1
m,17,A7,4
m,16,A8,1
f,13,B1,1
f,15,B1,7
f,16,B1,5
f,17,B1,9
f,18,B1,2
m,16,B1,4
m,17,B1,3
m,18,B1,1
f,12,B2,1
f,15,B2,7
f,16,B2,5
f,17,B2,10
f,18,B2,1
m,13,B2,4
m,14,B2,2
m,16,B2,8
m,17,B2,7
m,18,B2,1
m,19,B2,1
f,12,B3,1
f,14,B3,1
f,15,B3,2
f,16,B3,3
f,17,B3,1
m,18,B3,1
f,13,C1,2
f,14,C1,1
f,15,C1,2
f,16,C1,5
f,17,C1,9
f,18,C1,2
m,12,C1,1
m,14,C1,1
m,15,C1,1
m,16,C1,1
m,17,C1,2
m,18,C1,1
f,15,C2,2
f,16,C2,2
f,17,C2,8
m,13,C2,1
m,15,C2,2
m,16,C2,5
m,17,C2,4
f,11,C3,1
f,12,C3,2
f,13,C3,2
f,16,C3,2
f,17,C3,1
m,13,C3,1
m,14,C3,1
m,16,C3,1





