year,f_0_9,f_10_11,f_12_17,m_0_9,m_10_11,m_12_17
2006-01-01,40.0,18.0,25.0,25.0,5.0,10.0
2007-01-01,46.0,15.0,25.0,15.0,5.0,5.0
2008-01-01,46.0,17.0,15.0,25.0,5.0,10.0
2009-01-01,35.0,16.0,30.0,20.0,10.0,15.0
2010-01-01,40.0,17.0,30.0,15.0,10.0,25.0
2011-01-01,40.0,17.0,41.0,10.0,10.0,25.0
2012-01-01,56.0,25.0,41.0,10.0,10.0,30.0
2013-01-01,64.0,29.0,56.0,15.0,10.0,44.0
2014-01-01,56.0,44.0,60.0,20.0,10.0,36.0
2015-01-01,72.0,49.0,76.0,15.0,10.0,51.0
2016-01-01,70.0,54.0,100.0,15.0,10.0,71.0
2017-01-01,69.0,65.0,125.0,10.0,10.0,108.0
2018-01-01,75.0,69.0,162.0,10.0,10.0,134.0
2019-01-01,92.0,66.0,160.0,10.0,16.0,133.0
2020-01-01,111.0,96.0,213.0,20.0,20.0,203.0
